line,time,text,speaker_id,speaker_role,secondary_speaker_id,confidence,exclude_from_single_speaker_eval,notes
25,"00:00:58,530 --> 00:01:01,130",要不我还是搬出去吧,xuefan,雪凡,,high,false,
26,"00:01:01,420 --> 00:01:02,200",来,chimuxue,迟暮雪,,medium,false,迟暮雪端碗照顾雪凡
27,"00:01:05,260 --> 00:01:06,060",雪凡哥哥,chimuxue,迟暮雪,,high,false,
28,"00:01:06,060 --> 00:01:07,200",你走什么走,chimuxue,迟暮雪,,high,false,
29,"00:01:07,200 --> 00:01:08,600",要走也是他走,chimuxue,迟暮雪,,high,false,
30,"00:01:08,600 --> 00:01:10,580",秦阳给我滚出去,chimuxue,迟暮雪,,high,false,
31,"00:01:11,380 --> 00:01:12,080",我滚,qinyang,秦阳,,high,false,
32,"00:01:12,660 --> 00:01:13,840",这是我的婚房,qinyang,秦阳,,high,false,内心独白
33,"00:01:14,400 --> 00:01:16,060",自从新婚宴开始,qinyang,秦阳,,high,false,内心独白
34,"00:01:16,060 --> 00:01:17,720",他就一直纠战绝场,qinyang,秦阳,,high,false,内心独白
35,"00:01:18,200 --> 00:01:18,920",不知道的,qinyang,秦阳,,high,false,内心独白
36,"00:01:18,920 --> 00:01:20,400",还因为他才是你的老婆,qinyang,秦阳,,high,false,内心独白
37,"00:01:20,400 --> 00:01:21,180",够了秦阳,chimuxue,迟暮雪,,high,false,
38,"00:01:21,740 --> 00:01:23,140",你没有资格说他,chimuxue,迟暮雪,,high,false,
39,"00:01:23,880 --> 00:01:24,280",你,qinyang,秦阳,,high,false,
40,"00:01:25,100 --> 00:01:25,720",你说什么,qinyang,秦阳,,high,false,
41,"00:01:26,360 --> 00:01:27,640",我嫁你为妻,chimuxue,迟暮雪,,high,false,
42,"00:01:27,640 --> 00:01:28,860",给你生女儿,chimuxue,迟暮雪,,high,false,
43,"00:01:28,860 --> 00:01:30,360",这都只是意外,chimuxue,迟暮雪,,high,false,
44,"00:01:30,360 --> 00:01:31,920",当初若不是因为你,chimuxue,迟暮雪,,high,false,
45,"00:01:31,920 --> 00:01:33,160",雪凡也不会变成这样,chimuxue,迟暮雪,,high,false,
46,"00:01:33,160 --> 00:01:34,820",你最没有资格,chimuxue,迟暮雪,,high,false,
47,"00:01:34,820 --> 00:01:35,820",是做她,chimuxue,迟暮雪,,high,false,原字幕识别残缺但说话人连续
48,"00:01:36,620 --> 00:01:37,180",沐雪,xuefan,雪凡,,high,false,
49,"00:01:37,660 --> 00:01:38,580",你别这样,xuefan,雪凡,,high,false,
50,"00:01:39,100 --> 00:01:40,480",秦阳她毕竟是你老公,xuefan,雪凡,,high,false,
51,"00:01:40,480 --> 00:01:41,780",老公又怎么样,chimuxue,迟暮雪,,high,false,
52,"00:01:41,780 --> 00:01:42,780",不过,chimuxue,迟暮雪,,high,false,
53,"00:01:42,780 --> 00:01:44,920",是自面上罢了,chimuxue,迟暮雪,,high,false,
54,"00:01:50,360 --> 00:01:51,100",石沐雪,qinyang,秦阳,,high,false,秦阳呼喊迟暮雪且镜头为迟暮雪反应
55,"00:01:51,100 --> 00:01:52,960",你可知道廉耻儿子,qinyang,秦阳,,high,false,
56,"00:01:52,960 --> 00:01:53,840",你这么做,qinyang,秦阳,,high,false,
57,"00:01:53,840 --> 00:01:55,040",最能提我跟悠悠吗,qinyang,秦阳,,high,false,
58,"00:01:55,040 --> 00:01:55,600",住口,chimuxue,迟暮雪,,high,false,
59,"00:01:55,600 --> 00:01:56,620",秦阳,chimuxue,迟暮雪,,high,false,
60,"00:01:56,620 --> 00:01:58,740",当年若不是你向我父母告状,chimuxue,迟暮雪,,high,false,
61,"00:01:58,740 --> 00:02:00,440",我早把那个脱油瓶解决掉了,chimuxue,迟暮雪,,high,false,
62,"00:02:00,440 --> 00:02:02,720",那可是你是约怀态的女儿啊,qinyang,秦阳,,high,false,
63,"00:02:02,720 --> 00:02:03,480",女儿,chimuxue,迟暮雪,,high,false,
64,"00:02:04,240 --> 00:02:05,960",她就不该来这世上,chimuxue,迟暮雪,,high,false,
65,"00:02:07,140 --> 00:02:09,780",原来妈妈并不爱我,youyou,悠悠,,high,false,内心独白
66,"00:02:09,780 --> 00:02:11,660",原来我是多余的,youyou,悠悠,,high,false,内心独白
67,"00:02:12,830 --> 00:02:13,690",没关系,youyou,悠悠,,high,false,内心独白
68,"00:02:15,260 --> 00:02:17,260",只要我将礼物送给妈妈,youyou,悠悠,,high,false,内心独白
69,"00:02:17,260 --> 00:02:19,600",妈妈就一定会看到悠悠的好,youyou,悠悠,,high,false,内心独白
70,"00:02:20,500 --> 00:02:21,060",沐雪,xuefan,雪凡,,high,false,
71,"00:02:21,440 --> 00:02:22,340",你别这样说,xuefan,雪凡,,high,false,
72,"00:02:22,880 --> 00:02:24,340",毕竟她是你的亲生骨肉,xuefan,雪凡,,high,false,
73,"00:02:24,340 --> 00:02:24,980",闭嘴,qinyang,秦阳,,high,false,
74,"00:02:25,770 --> 00:02:27,490",你少在这里加星星的,qinyang,秦阳,,high,false,
75,"00:02:27,490 --> 00:02:28,690",都是因为你,qinyang,秦阳,,high,false,
76,"00:02:28,690 --> 00:02:30,850",你你一直在破坏我的感情,qinyang,秦阳,,high,false,
77,"00:02:31,270 --> 00:02:31,890",闭嘴,chimuxue,迟暮雪,,high,false,迟暮雪起身打断并掌掴秦阳
78,"00:02:33,660 --> 00:02:34,260",秦阳,chimuxue,迟暮雪,,high,false,
79,"00:02:34,260 --> 00:02:35,560",当年若不是她,chimuxue,迟暮雪,,high,false,
80,"00:02:35,560 --> 00:02:37,460",从生化实验室里把我救出来,chimuxue,迟暮雪,,high,false,
81,"00:02:37,460 --> 00:02:38,840",也不会取了腿,chimuxue,迟暮雪,,high,false,
82,"00:02:39,320 --> 00:02:41,160",我照顾她是理所应当,chimuxue,迟暮雪,,high,false,
83,"00:02:41,160 --> 00:02:42,900",我不允许你护免她,chimuxue,迟暮雪,,high,false,
84,"00:02:42,900 --> 00:02:44,360",更不允许你伤害她,chimuxue,迟暮雪,,high,false,
85,"00:02:46,350 --> 00:02:46,910",妈妈,youyou,悠悠,,high,false,
86,"00:02:46,910 --> 00:02:48,330",你不要跟爸爸吵架,youyou,悠悠,,high,false,
87,"00:02:48,330 --> 00:02:49,390",滚开,chimuxue,迟暮雪,,high,false,迟暮雪推开悠悠
88,"00:02:50,470 --> 00:02:51,570",直播雪,qinyang,秦阳,,high,false,秦阳呼喊迟暮雪且原字幕识别错误
89,"00:02:51,570 --> 00:02:52,290",悠悠,qinyang,秦阳,,high,false,
90,"00:02:54,240 --> 00:02:55,420",爸爸妈妈没吵架,qinyang,秦阳,,high,false,秦阳安慰悠悠
91,"00:02:56,600 --> 00:02:57,220",妈妈,youyou,悠悠,,high,false,
92,"00:02:58,220 --> 00:02:59,780",别上爸爸的气好不好,youyou,悠悠,,high,false,
93,"00:03:00,640 --> 00:03:02,780",悠悠带爸爸向妈妈道歉,youyou,悠悠,,high,false,
94,"00:03:03,420 --> 00:03:05,360",这是悠悠送给妈妈的生日礼物,youyou,悠悠,,high,false,
95,"00:03:06,120 --> 00:03:07,460",希望妈妈天天开心,youyou,悠悠,,high,false,
96,"00:03:13,420 --> 00:03:15,160",许发没事吧妈妈,chimuxue,迟暮雪,,high,false,实际语义为迟暮雪询问雪凡是否没事
97,"00:03:15,160 --> 00:03:18,080",可以先看悠悠的礼物吗走开,youyou+chimuxue,悠悠+迟暮雪,chimuxue,high,true,先由悠悠说请求随后迟暮雪说走开需拆句
98,"00:03:19,240 --> 00:03:19,920",悠悠,qinyang,秦阳,,high,false,秦阳惊呼
99,"00:03:20,870 --> 00:03:21,770",悠悠送,youyou,悠悠,,high,false,画面硬字幕显示悠悠送给妈妈的且为悠悠受伤后断续说话
100,"00:03:28,650 --> 00:03:30,130",悠悠悠,qinyang,秦阳,,high,false,秦阳连续呼喊悠悠
101,"00:03:30,130 --> 00:03:30,990",悠悠,qinyang,秦阳,,high,false,秦阳继续呼喊悠悠
